Unnamed: 0,ObjID,ra,dec,type,u,g,r,i,z,SpecObjID,redshift
102,1237678661970297058,21.5413947025183,4.9248991954802,3,21.46276,20.66189,20.28547,19.91384,19.30675,0,
103,1237678661970297059,21.5402988636998,4.87805520183487,6,22.74422,21.34885,21.05912,20.89041,20.99539,0,
104,1237678661970297061,21.5423065291006,4.94715322996571,3,22.45322,22.5878,22.12065,21.54663,21.45597,0,
105,1237678661970297063,21.5417786152077,4.87172428576971,6,25.08837,22.97638,24.94478,25.38614,22.21874,0,
106,1237678661970297065,21.5446097861343,4.9330909990576,3,23.66315,20.79196,20.2416,19.90527,19.58912,0,
107,1237678661970297066,21.5430132886767,4.87351240974689,3,23.37274,21.62876,21.23135,21.33939,20.91558,0,
108,1237678661970297069,21.5445128388866,4.87725604932034,6,24.28845,22.9808,24.24462,23.49551,22.0415,0,
109,1237678661970297070,21.5454857083095,4.89969670527896,3,23.14714,22.23056,21.2902,21.02782,20.51694,0,
110,1237678661970297081,21.5476107158916,4.90283459540936,6,22.11915,21.03479,20.77236,20.67117,20.53218,0,
111,1237678661970297087,21.5478989411433,4.87328855935441,3,21.86843,21.66789,21.20338,21.04807,21.2185,0,
112,1237678661970297088,21.5487952819008,4.91729061361257,3,24.02066,22.12572,21.94683,21.79094,21.95984,0,
113,1237678661970297089,21.5497644157588,4.9204793013265,6,25.33964,22.91362,21.65263,19.95378,19.10177,0,
114,1237678661970297091,21.5496328919746,4.89568388437432,3,22.23485,22.42534,21.3546,20.85753,20.82049,0,
115,1237678661970297094,21.5501886922414,4.86514689725607,3,22.72886,23.08545,22.94842,22.00733,22.14017,0,
116,1237678661970297099,21.5550358569879,4.93545029367708,3,23.16938,22.51921,22.21184,21.66762,21.51541,10626458961543712768,0.8000633
117,1237678661970297100,21.5545198128636,4.90418020884831,3,23.21375,22.32617,21.78219,21.65543,21.53485,0,
118,1237678661970297102,21.5543881460877,4.9212015601913,3,24.47943,23.25156,21.94846,20.96885,20.27861,0,
119,1237678661970297103,21.5551016619578,4.92243718120716,3,25.95064,22.42062,21.66365,21.09566,21.59918,0,
120,1237678661970297111,21.5570255504614,4.89015813329629,6,25.84077,22.96569,25.60604,23.65251,22.30555,0,
121,1237678661970297112,21.5588287706812,4.92990180056669,3,23.91835,22.77286,22.41972,25.00637,23.8122,0,
122,1237678661970297119,21.5618770865775,4.89491795934766,3,24.59813,22.96688,23.72807,22.35336,21.46029,0,
123,1237678661970297122,21.5650030034094,4.93411462278081,3,22.14258,22.52245,23.18195,22.14284,23.42824,0,
124,1237678661970297123,21.5653076575852,4.9114534873744,3,25.52827,22.45821,21.80615,22.01292,23.30306,0,
125,1237678661970297125,21.5665947907896,4.92812517756023,6,24.83639,23.07331,22.4909,21.81829,22.57217,0,
126,1237678661970297127,21.5665873073332,4.89559612400811,6,22.59343,22.94538,23.77126,22.44436,21.7751,0,
127,1237678661970297128,21.567615319103,4.91253825211368,3,22.96229,21.5976,20.73393,20.44728,20.30848,0,
128,1237678661970297134,21.5705484094531,4.88989320476501,3,23.54512,22.2841,21.60318,21.13443,20.89113,0,
129,1237678661970297135,21.5709366853386,4.90056674384634,3,23.28044,22.36131,22.11511,22.16781,21.72927,0,
130,1237678661970297136,21.571668573072,4.89394276864595,3,22.2208,20.75719,19.51351,19.01578,18.73404,0,
131,1237678661970297430,21.5276210102959,4.91694647850413,6,26.25072,23.25585,22.35818,21.24937,20.45303,0,
132,1237678661970297433,21.5299061538471,4.8926384391141,3,25.88797,23.60056,21.91046,21.31832,20.45906,0,
133,1237678661970297435,21.536157547732,4.93534192483179,3,23.45546,23.74434,22.14247,21.61042,21.60336,0,
134,1237678661970297443,21.5490023133127,4.88292364201244,3,24.20929,23.09971,21.67828,21.28316,21.29289,0,
135,1237678661970297444,21.5512213665289,4.90669975402975,3,22.85908,22.85527,21.3696,21.97011,20.49405,0,
136,1237678661970297446,21.5543477340974,4.90678072693705,3,27.16442,21.90724,20.85518,21.58516,20.50521,0,
137,1237678661970297455,21.5672632549151,4.90191208127303,6,23.37927,23.53151,22.61015,22.4385,21.61024,0,
138,1237678661970297543,21.5355688959918,4.87668827524693,3,23.00156,23.18515,22.64291,21.60455,21.29431,0,
139,1237678661970297547,21.5439048665594,4.92674856089929,3,23.04799,23.3532,22.51458,21.78363,21.27987,0,
140,1237678661970297549,21.5445058113181,4.91134738503108,6,25.63468,25.05201,25.7249,21.91371,23.57759,0,
141,1237678661970297550,21.5447794570871,4.91360195274665,3,26.18212,25.57926,23.31944,21.93294,22.84725,0,
142,1237678661970297557,21.5556991504012,4.91341224821281,3,22.88365,23.38296,22.43214,21.22206,20.76674,0,
143,1237678661970297560,21.562726695994,4.90388841958665,6,26.44787,24.1664,22.88365,21.64482,20.41833,0,
144,1237678661970297632,21.5605496966436,4.91054084420085,3,23.24113,22.904,21.86609,22.8005,21.52537,0,
145,1237678661970297637,21.5416074311704,4.93973160351723,3,23.00229,24.76306,23.0656,21.70613,22.24651,0,
